As Of;Currency;NAV;Securities In Issue;Net Assets;Fund Return Series;Benchmark Return Series
25/Mar/2021;EUR;5,42;83.422.500,00;451.969.189,79;108,35;109,52
24/Mar/2021;EUR;5,41;83.422.500,00;451.683.995,00;108,28;109,47
23/Mar/2021;EUR;5,41;83.433.492,00;451.584.905,26;108,24;109,44
22/Mar/2021;EUR;5,41;83.703.492,00;452.918.739,27;108,21;109,40
19/Mar/2021;EUR;5,41;83.663.895,00;452.880.355,69;108,25;109,42
18/Mar/2021;EUR;5,42;81.505.774,00;441.492.742,72;108,32;109,49
17/Mar/2021;EUR;5,42;81.505.774,00;441.756.987,13;108,39;109,58
16/Mar/2021;EUR;5,42;78.931.774,00;427.864.751,84;108,40;109,59
15/Mar/2021;EUR;5,42;78.837.944,00;427.185.770,44;108,36;109,54
12/Mar/2021;EUR;5,42;78.485.086,00;425.160.642,75;108,33;109,49
11/Mar/2021;EUR;5,41;78.485.086,00;424.910.996,67;108,27;109,43
10/Mar/2021;EUR;5,40;72.125.086,00;389.711.052,24;108,05;109,25
09/Mar/2021;EUR;5,40;72.125.086,00;389.586.325,68;108,02;109,21
08/Mar/2021;EUR;5,40;75.938.172,00;410.179.791,53;108,02;109,21
05/Mar/2021;EUR;5,41;75.938.172,00;410.512.455,30;108,11;109,28
04/Mar/2021;EUR;5,41;75.938.172,00;410.930.447,50;108,22;109,39
03/Mar/2021;EUR;5,41;75.938.172,00;410.945.791,56;108,22;109,41
02/Mar/2021;EUR;5,41;75.938.172,00;410.783.881,91;108,18;109,37
01/Mar/2021;EUR;5,40;74.197.518,00;401.002.476,68;108,08;109,27
26/Feb/2021;EUR;5,40;74.774.865,00;403.811.884,40;108,00;109,16
25/Feb/2021;EUR;5,42;74.774.865,00;404.953.545,63;108,30;109,46
24/Feb/2021;EUR;5,42;74.624.865,00;404.219.011,73;108,32;109,52
23/Feb/2021;EUR;5,42;74.624.865,00;404.185.857,99;108,31;109,51
22/Feb/2021;EUR;5,42;74.661.909,00;404.393.195,34;108,32;109,51
19/Feb/2021;EUR;5,42;74.661.909,00;404.424.984,00;108,32;109,50
18/Feb/2021;EUR;5,42;74.661.909,00;404.412.281,04;108,32;109,49
17/Feb/2021;EUR;5,42;74.661.909,00;404.420.170,89;108,32;109,52
16/Feb/2021;EUR;5,42;74.566.582,00;403.938.540,87;108,33;109,52
15/Feb/2021;EUR;5,41;74.566.582,00;403.731.557,37;108,28;109,47
12/Feb/2021;EUR;5,41;74.566.582,00;403.609.893,57;108,24;109,41
11/Feb/2021;EUR;5,41;74.566.582,00;403.681.473,69;108,26;109,43
10/Feb/2021;EUR;5,41;74.566.582,00;403.395.841,67;108,19;109,38
09/Feb/2021;EUR;5,41;74.546.582,00;403.124.659,75;108,14;109,33
08/Feb/2021;EUR;5,41;74.546.582,00;403.146.725,98;108,15;109,34
05/Feb/2021;EUR;5,41;74.546.582,00;402.981.888,69;108,10;109,27
04/Feb/2021;EUR;5,40;74.546.582,00;402.658.070,29;108,02;109,18
