As Of;Currency;NAV
23/Sept/2016;EUR;208,69
22/Sept/2016;EUR;209,01
21/Sept/2016;EUR;207,26
20/Sept/2016;EUR;207,46
19/Sept/2016;EUR;206,60
16/Sept/2016;EUR;206,50
15/Sept/2016;EUR;206,34
14/Sept/2016;EUR;206,83
13/Sept/2016;EUR;206,79
12/Sept/2016;EUR;206,95
09/Sept/2016;EUR;207,06
08/Sept/2016;EUR;208,31
07/Sept/2016;EUR;209,30
06/Sept/2016;EUR;208,62
05/Sept/2016;EUR;207,64
02/Sept/2016;EUR;207,32
01/Sept/2016;EUR;207,65
31/Aug/2016;EUR;208,04
30/Aug/2016;EUR;208,74
26/Aug/2016;EUR;208,81
25/Aug/2016;EUR;208,31
24/Aug/2016;EUR;208,41
23/Aug/2016;EUR;208,57
22/Aug/2016;EUR;208,74
19/Aug/2016;EUR;208,45
18/Aug/2016;EUR;209,07
17/Aug/2016;EUR;208,76
16/Aug/2016;EUR;208,56
15/Aug/2016;EUR;209,17
12/Aug/2016;EUR;209,40
11/Aug/2016;EUR;209,17
10/Aug/2016;EUR;209,11
09/Aug/2016;EUR;208,58
08/Aug/2016;EUR;208,11
05/Aug/2016;EUR;207,78
04/Aug/2016;EUR;207,85
03/Aug/2016;EUR;206,98
02/Aug/2016;EUR;207,08
01/Aug/2016;EUR;208,07
29/Jul/2016;EUR;208,41
28/Jul/2016;EUR;208,06
27/Jul/2016;EUR;207,77
26/Jul/2016;EUR;206,72
25/Jul/2016;EUR;206,59
22/Jul/2016;EUR;206,12
21/Jul/2016;EUR;206,09
20/Jul/2016;EUR;206,12
19/Jul/2016;EUR;206,31
18/Jul/2016;EUR;206,31
15/Jul/2016;EUR;206,27
14/Jul/2016;EUR;206,33
13/Jul/2016;EUR;206,31
12/Jul/2016;EUR;205,68
11/Jul/2016;EUR;205,83
08/Jul/2016;EUR;206,13
07/Jul/2016;EUR;205,71
06/Jul/2016;EUR;205,79
05/Jul/2016;EUR;206,08
